"sample_id","parcel_id","input","reference_lon","reference_lat","geocoder","matched_address","census_candidates","geocode_lon","geocode_lat","distance_m","same_cell","in_reference_disk","reference_zcta","geocode_zcta","reference_council_district","geocode_council_district","flag","reviewer_verdict","reviewer_notes"
142,"043062  00020","3340 MACON RD, Memphis, TN",-89.9492,35.163063,"census","3340 MACON RD, MEMPHIS, TN, 38122",1,-89.949442,35.162899,28.6,TRUE,TRUE,"38122","38122","5","5","","",""
143,"035071  00001","145 FIELDS AV, Memphis, TN",-90.067325,35.104707,"census","145 FIELDS AVE, MEMPHIS, TN, 38109",1,-90.066379,35.104726,86.2,TRUE,TRUE,"38109","38109","6","6","","",""
144,"028005  00001C","6 S COOPER ST, Memphis, TN",-89.989808,35.136252,"census","6 S COOPER ST, MEMPHIS, TN, 38104",1,-89.990049,35.136457,31.6,TRUE,TRUE,"38104","38104","5","5","","",""
145,"093421 A00006","5884 FOXDALE RD, Memphis, TN",-89.867475,35.057088,"census","5884 FOXDALE RD, MEMPHIS, TN, 38115",1,-89.867791,35.056959,32.2,TRUE,TRUE,"38115","38115","4","4","","",""
146,"079161  00029","1393 EASON AV, Memphis, TN",-90.01746,34.999263,"census","1393 EASON AVE, MEMPHIS, TN, 38116",1,-90.017425,34.999387,14.1,TRUE,TRUE,"38116","38116","3","3","","",""
147,"075140 A00046","1005 WEAVER CV, Memphis, TN",-90.097655,35.028999,"census","1005 WEAVER COVE, MEMPHIS, TN, 38109",1,-90.098229,35.029008,52.4,TRUE,TRUE,"38109","38109","6","6","","",""
148,"080021 C00009C","6070 WILD OAKS DR, Memphis, TN",-89.859776,35.116533,"census","6070 WILD OAKS DR, MEMPHIS, TN, 38120",1,-89.860049,35.116654,28.3,TRUE,TRUE,"38120","38120","2","2","","",""
149,"088026  00015","5224 BRAIDWOOD CV, Memphis, TN",-89.889183,35.198019,"census","5224 BRAIDWOOD COVE, MEMPHIS, TN, 38134",1,-89.888595,35.197983,53.7,TRUE,TRUE,"38134","38134","1","1","","",""
150,"016063  00001","2081 LINDEN AV, Memphis, TN",-89.992229,35.13303,"census","2081 LINDEN AVE, MEMPHIS, TN, 38104",1,-89.992306,35.133155,15.6,TRUE,TRUE,"38104","38104","4","4","","",""
151,"069054  00015C","3469 MILLINGTON RD, Memphis, TN",-90.02804,35.22042,"census","3469 MILLINGTON RD, MEMPHIS, TN, 38127",1,-90.028534,35.220312,46.6,FALSE,TRUE,"38127","38127","7","7","","",""
152,"021015  00007C","999 JACKSON AV, Memphis, TN",-90.025502,35.156898,"census","999 JACKSON AVE, MEMPHIS, TN, 38107",1,-90.025538,35.157118,24.7,TRUE,TRUE,"38107","38107","7","7","","",""
153,"083028  00009","3417 CYPRESS RD, Memphis, TN",-89.949821,35.196228,"census","3417 CYPRESS RD, MEMPHIS, TN, 38128",1,-89.95004,35.196349,24,TRUE,TRUE,"38128","38128","7","7","","",""
154,"020093  00013","265 N BELLEVUE BL, Memphis, TN",-90.021078,35.1468,"census","265 N BELLEVUE BLVD, MEMPHIS, TN, 38105",1,-90.020855,35.146247,64.7,TRUE,TRUE,"38105","38105","6","6","","",""
155,"090022  00090","3813 WALSINGHAM CV, Memphis, TN",-89.936204,35.24715,"census","3813 WALSINGHAM COVE, MEMPHIS, TN, 38128",1,-89.936899,35.247574,78.9,TRUE,TRUE,"38128","38128","1","1","","",""
156,"091066 E00025","8582 BRER FOX CV, Memphis, TN",-89.776179,35.139015,"nominatim (census no_match)","8582, Brer Fox Cove, Cordova, Memphis, Shelby County, West Tennessee, Tennessee, 38018, United States",0,-89.776156,35.138431,64.8,FALSE,TRUE,"38018","38018","2","2","","",""
157,"058047  00009C","3579 PARK AV, Memphis, TN",-89.943296,35.107578,"census","3579 PARK AVE, MEMPHIS, TN, 38111",1,-89.943225,35.107759,21.1,TRUE,TRUE,"38111","38111","4","4","","",""
158,"079050  00071","4630 SHELBY COMMONS CT, Memphis, TN",-90.016754,35.02179,"none (census no_match)",,0,,,,,FALSE,"38116",,"3",,"no result","",""
159,"060118  00039","2353 IMOGENE ST, Memphis, TN",-89.980236,35.080992,"census","2353 IMOGENE ST, MEMPHIS, TN, 38114",1,-89.980097,35.081077,15.8,TRUE,TRUE,"38114","38114","4","4","","",""
160,"087006  00014","4015 AUSTIN PEAY HW, Memphis, TN",-89.895609,35.235954,"census","4015 AUSTIN PEAY HWY, MEMPHIS, TN, 38128",1,-89.894767,35.235709,81.3,TRUE,TRUE,"38128","38128","1","1","","",""
161,"096500 D00082","7839 EASTMONT LN, Memphis, TN",-89.801564,35.170155,"nominatim (census no_match)","7839, Eastmont Lane, Cordova, Memphis, Shelby County, West Tennessee, Tennessee, 38016, United States",0,-89.801838,35.17043,39.5,TRUE,TRUE,"38016","38016","2","2","","",""
162,"002041 A00004","50 GAYOSO AV, Memphis, TN",-90.055908,35.142642,"census","50 GAYOSO AVE, MEMPHIS, TN, 38103",1,-90.0554,35.142434,51.7,TRUE,TRUE,"38103","38103","7","7","","",""
163,"027019  00022","696 N MANASSAS ST, Memphis, TN",-90.032594,35.159652,"census","696 N MANASSAS ST, MEMPHIS, TN, 38107",1,-90.032738,35.159839,24.6,TRUE,TRUE,"38107","38107","7","7","","",""
164,"045085  00009","3231 CHOCTAW AV, Memphis, TN",-89.954834,35.11053,"census","3231 CHOCTAW AVE, MEMPHIS, TN, 38111",1,-89.955287,35.110681,44.6,TRUE,TRUE,"38111","38111","4","4","","",""
165,"011038  00003","765 IOKA AV, Memphis, TN",-90.036095,35.126973,"nominatim (census no_match)","765, Ioka Avenue, Foote Homes, Memphis, Shelby County, West Tennessee, Tennessee, 38126, United States",0,-90.036046,35.127178,23.1,FALSE,TRUE,"38126","38126","6","6","","",""
166,"081053 B00005","2865 KIRBY RD, Memphis, TN",-89.842982,35.070318,"census","2865 KIRBY RD, MEMPHIS, TN, 38119",1,-89.842625,35.070583,43.9,TRUE,TRUE,"38119","38119","2","2","","",""
167,"075167  00008","879 HACKBERRY LN, Memphis, TN",-90.093398,35.024211,"census","879 HACKBERRY LN, MEMPHIS, TN, 38109",1,-90.093277,35.024361,19.9,TRUE,TRUE,"38109","38109","6","6","","",""
168,"056046  00004","5261 BRANTFORD RD, Memphis, TN",-89.886596,35.11836,"census","5261 BRANTFORD AVE, MEMPHIS, TN, 38120",1,-89.88614,35.118492,44,TRUE,TRUE,"38120","38120","5","5","","",""
169,"088008  00195","2683 COVINGTON PI, Memphis, TN",-89.896635,35.198352,"census","2683 COVINGTON PIKE, MEMPHIS, TN, 38128",1,-89.895474,35.198218,106.8,FALSE,TRUE,"38128","38128","1","1","over 100 m","",""
